 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Ago/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210235 Buritirana";49;49;56290,49;40458,24;-;-;15832,25;-;-;1148,79;1148,79;205;4,2;2;4,08
"210237 Cachoeira Grande";20;20;16513,29;12644,58;-;-;3868,71;-;-;825,66;825,66;95;4,8;-;-
"210240 Cajapió";52;52;56590,06;44664,06;-;-;11926,00;-;-;1088,27;1088,27;183;3,5;3;5,77
"210250 Cajari";44;44;66333,74;51685,51;-;-;14648,23;-;-;1507,59;1507,59;196;4,5;1;2,27
"210255 Campestre do Maranhão";53;53;44276,43;35913,06;-;-;8363,37;-;-;835,40;835,40;233;4,4;3;5,66
"210260 Cândido Mendes";74;75;60658,75;46565,55;-;-;14093,20;-;-;808,78;819,71;254;3,4;4;5,41
"210270 Cantanhede";122;125;83817,49;64691,10;-;-;19126,39;-;-;670,54;687,03;642;5,3;1;0,82
"210275 Capinzal do Norte";23;23;43680,87;36810,78;-;-;6870,09;-;-;1899,17;1899,17;175;7,6;1;4,35
"210280 Carolina";100;100;89311,86;70523,68;-;-;18788,18;-;-;893,12;893,12;353;3,5;2;2,00
"210290 Carutapera";89;89;79539,79;60670,18;-;-;18869,61;-;-;893,71;893,71;449;5,0;-;-
"210300 Caxias";807;811;1159785,17;924176,76;-;-;235608,41;-;-;1430,07;1437,16;4190;5,2;50;6,20
"210310 Cedral";83;83;31349,02;25016,44;-;-;6332,58;-;-;377,70;377,70;188;2,3;-;-
"210312 Central do Maranhão";29;29;14054,56;10572,98;-;-;3481,58;-;-;484,64;484,64;102;3,5;-;-
"210315 Centro do Guilherme";51;51;33868,78;25178,42;-;-;8690,36;-;-;664,09;664,09;204;4,0;3;5,88
"210317 Centro Novo do Maranhão";65;65;47230,42;36467,42;-;-;10763,00;-;-;726,62;726,62;253;3,9;4;6,15
"210320 Chapadinha";377;378;316522,00;238639,75;-;-;77882,25;-;-;837,36;839,58;1517;4,0;15;3,98
"210325 Cidelândia";95;95;57191,08;46382,50;-;-;10808,58;-;-;602,01;602,01;196;2,1;-;-
"210330 Codó";518;522;478548,43;370613,36;-;-;107935,07;-;-;916,76;923,84;2512;4,8;27;5,21
