 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jul/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110092 Chupinguaia";28;28;23382,91;18135,17;-;-;5247,74;-;-;835,10;835,10;140;5,0;1;3,57
"110006 Colorado do Oeste";56;56;100259,83;77001,95;-;-;23257,88;-;-;1790,35;1790,35;401;7,2;2;3,57
"110007 Corumbiara";10;10;15875,57;13231,81;-;-;2643,76;-;-;1587,56;1587,56;50;5,0;2;20,00
"110008 Costa Marques";38;38;50793,21;42258,87;-;-;8534,34;-;-;1336,66;1336,66;164;4,3;6;15,79
"110094 Cujubim";63;63;70269,66;55561,66;-;-;14708,00;-;-;1115,39;1115,39;239;3,8;1;1,59
"110009 Espigão D'Oeste";110;110;49152,50;40206,29;-;-;8946,21;-;-;446,84;446,84;310;2,8;3;2,73
"110100 Governador Jorge Teixeira";19;19;19113,19;14442,43;-;-;4670,76;-;-;1005,96;1005,96;122;6,4;2;10,53
"110010 Guajará-Mirim";315;315;336028,10;265441,73;-;-;70586,37;-;-;1066,76;1066,76;1462;4,6;16;5,08
"110110 Itapuã do Oeste";27;27;37418,96;31773,82;-;-;5645,14;-;-;1385,89;1385,89;175;6,5;2;7,41
"110011 Jaru";275;275;412923,54;337780,90;-;-;75142,64;-;-;1501,54;1501,54;1134;4,1;14;5,09
"110012 Ji-Paraná";531;531;747417,88;622391,59;-;-;125026,29;-;-;1407,57;1407,57;2270;4,3;23;4,33
"110013 Machadinho D'Oeste";132;132;125722,69;101704,98;-;-;24017,71;-;-;952,44;952,44;467;3,5;7;5,30
"110120 Ministro Andreazza";17;17;34683,35;29304,04;-;-;5379,31;-;-;2040,20;2040,20;119;7,0;3;17,65
"110130 Mirante da Serra";35;35;33126,54;28231,09;-;-;4895,45;-;-;946,47;946,47;184;5,3;3;8,57
"110140 Monte Negro";68;68;85449,90;71882,62;-;-;13567,28;-;-;1256,62;1256,62;318;4,7;4;5,88
"110014 Nova Brasilândia D'Oeste";71;71;53789,82;42500,94;-;-;11288,88;-;-;757,60;757,60;284;4,0;3;4,23
"110033 Nova Mamoré";128;128;139364,07;111484,02;-;-;27880,05;-;-;1088,78;1088,78;674;5,3;4;3,13
"110143 Nova União";14;14;23928,90;20273,28;-;-;3655,62;-;-;1709,21;1709,21;40;2,9;1;7,14
"110050 Novo Horizonte do Oeste";48;48;51684,61;42989,47;-;-;8695,14;-;-;1076,76;1076,76;270;5,6;3;6,25
"110015 Ouro Preto do Oeste";42;42;175619,06;147988,22;-;-;27630,84;-;-;4181,41;4181,41;258;6,1;2;4,76
"110145 Parecis";21;21;7614,88;5299,41;-;-;2315,47;-;-;362,61;362,61;47;2,2;1;4,76
"110018 Pimenta Bueno";219;219;173933,03;141224,24;-;-;32708,79;-;-;794,21;794,21;758;3,5;7;3,20
"110146 Pimenteiras do Oeste";15;15;13105,35;10414,20;-;-;2691,15;-;-;873,69;873,69;45;3,0;-;-
"110020 Porto Velho";2954;2954;5939008,74;4939522,58;-;-;999486,16;-;-;2010,50;2010,50;18938;6,4;200;6,77
"110025 Presidente Médici";70;70;41745,23;32135,80;-;-;9609,43;-;-;596,36;596,36;290;4,1;7;10,00
"110147 Primavera de Rondônia";9;9;30050,36;27117,79;-;-;2932,57;-;-;3338,93;3338,93;30;3,3;-;-
"110026 Rio Crespo";18;18;18657,23;14898,84;-;-;3758,39;-;-;1036,51;1036,51;89;4,9;-;-
"110028 Rolim de Moura";337;337;335220,22;267689,88;-;-;67530,34;-;-;994,72;994,72;1233;3,7;10;2,97
"110029 Santa Luzia D'Oeste";46;46;34444,54;28722,35;-;-;5722,19;-;-;748,79;748,79;206;4,5;-;-
"110148 São Felipe D'Oeste";5;5;3247,61;2430,51;-;-;817,10;-;-;649,52;649,52;18;3,6;-;-
"110149 São Francisco do Guaporé";78;78;51061,42;39243,10;-;-;11818,32;-;-;654,63;654,63;291;3,7;6;7,69
"110032 São Miguel do Guaporé";96;96;73488,28;58862,87;-;-;14625,41;-;-;765,50;765,50;252;2,6;2;2,08
"110150 Seringueiras";40;40;24254,83;17966,00;-;-;6288,83;-;-;606,37;606,37;130;3,3;-;-
"110155 Teixeirópolis";5;5;8653,24;5758,12;-;-;2895,12;-;-;1730,65;1730,65;32;6,4;-;-
"110160 Theobroma";24;24;21454,73;16966,57;-;-;4488,16;-;-;893,95;893,95;63;2,6;-;-
"110170 Urupá";35;35;27795,40;21537,29;-;-;6258,11;-;-;794,15;794,15;95;2,7;3;8,57
"110175 Vale do Anari";14;14;26878,74;22196,39;-;-;4682,35;-;-;1919,91;1919,91;83;5,9;1;7,14
"110180 Vale do Paraíso";16;16;16880,24;12738,69;-;-;4141,55;-;-;1055,01;1055,01;67;4,2;2;12,50
"110030 Vilhena";586;586;533100,37;421003,91;-;-;112096,46;-;-;909,73;909,73;2179;3,7;21;3,58
"120001 Acrelândia";41;41;46241,13;34901,95;-;-;11339,18;-;-;1127,83;1127,83;238;5,8;-;-
"120005 Assis Brasil";43;43;27433,38;20746,42;-;-;6686,96;-;-;637,99;637,99;189;4,4;3;6,98
"120010 Brasiléia";179;179;121029,69;89274,59;-;-;31755,10;-;-;676,14;676,14;637;3,6;6;3,35
"120013 Bujari";25;25;20522,45;15332,92;-;-;5189,53;-;-;820,90;820,90;104;4,2;3;12,00
"120017 Capixaba";45;45;60337,60;46908,75;-;-;13428,85;-;-;1340,84;1340,84;209;4,6;2;4,44
"120020 Cruzeiro do Sul";320;320;383443,70;307701,26;-;-;75742,44;-;-;1198,26;1198,26;1618;5,1;23;7,19
"120025 Epitaciolândia";103;103;64673,02;47804,71;-;-;16868,31;-;-;627,89;627,89;281;2,7;3;2,91
"120030 Feijó";42;42;40772,88;32125,92;-;-;8646,96;-;-;970,78;970,78;337;8,0;3;7,14
"120032 Jordão";15;15;21427,69;16861,60;-;-;4566,09;-;-;1428,51;1428,51;61;4,1;-;-
"120033 Mâncio Lima";71;71;100275,04;81905,03;-;-;18370,01;-;-;1412,32;1412,32;370;5,2;5;7,04
"120034 Manoel Urbano";42;42;74958,57;62549,21;-;-;12409,36;-;-;1784,73;1784,73;209;5,0;-;-
"120035 Marechal Thaumaturgo";55;55;54597,11;44308,27;-;-;10288,84;-;-;992,67;992,67;191;3,5;2;3,64
"120038 Plácido de Castro";59;59;77292,70;60625,43;-;-;16667,27;-;-;1310,05;1310,05;239;4,1;2;3,39
"120080 Porto Acre";40;40;33561,43;24111,10;-;-;9450,33;-;-;839,04;839,04;148;3,7;3;7,50
