 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mar/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"172015 São Félix do Tocantins";11;11;21305,82;18132,47;-;-;3173,35;-;-;1936,89;1936,89;78;7,1;-;-
"172020 São Miguel do Tocantins";22;22;14496,52;10391,61;-;-;4104,91;-;-;658,93;658,93;100;4,5;-;-
"172025 São Salvador do Tocantins";4;4;2096,66;1655,83;-;-;440,83;-;-;524,16;524,16;6;1,5;-;-
"172030 São Sebastião do Tocantins";12;12;12652,91;10077,48;-;-;2575,43;-;-;1054,41;1054,41;63;5,3;2;16,67
"172049 São Valério";18;18;10084,35;7307,80;-;-;2776,55;-;-;560,24;560,24;140;7,8;-;-
"172065 Silvanópolis";16;16;6423,13;4756,26;-;-;1666,87;-;-;401,45;401,45;54;3,4;-;-
"172080 Sítio Novo do Tocantins";18;18;11590,39;9091,75;-;-;2498,64;-;-;643,91;643,91;84;4,7;3;16,67
"172085 Sucupira";11;11;19558,22;14931,85;-;-;4626,37;-;-;1778,02;1778,02;76;6,9;-;-
"172090 Taguatinga";20;20;23662,15;19137,53;-;-;4524,62;-;-;1183,11;1183,11;130;6,5;1;5,00
"172093 Taipas do Tocantins";3;3;6353,80;4608,72;-;-;1745,08;-;-;2117,93;2117,93;25;8,3;-;-
"172097 Talismã";12;12;9723,01;7352,37;-;-;2370,64;-;-;810,25;810,25;62;5,2;-;-
"172110 Tocantínia";62;62;38006,46;31164,63;100,02;-;6672,33;-;-;613,01;613,01;269;4,3;2;3,23
"172120 Tocantinópolis";89;89;78845,01;60409,37;-;-;18435,64;-;-;885,90;885,90;509;5,7;2;2,25
"172125 Tupirama";8;8;3998,06;3437,29;-;-;560,77;-;-;499,76;499,76;33;4,1;-;-
"172130 Tupiratins";7;7;6316,89;4862,24;-;-;1454,65;-;-;902,41;902,41;39;5,6;-;-
"172208 Wanderlândia";43;43;29480,62;20757,30;-;-;8723,32;-;-;685,60;685,60;249;5,8;-;-
"172210 Xambioá";114;114;62507,66;50871,83;-;-;11635,83;-;-;548,31;548,31;412;3,6;5;4,39
"210005 Açailândia";640;642;473832,01;358583,01;-;-;115249,00;-;-;738,06;740,36;2350;3,7;12;1,88
"210010 Afonso Cunha";21;21;15757,99;11852,85;-;-;3905,14;-;-;750,38;750,38;66;3,1;-;-
