 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Set/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110014 Nova Brasilândia D'Oeste";63;63;48984,38;38897,36;-;-;10087,02;-;-;777,53;777,53;276;4,4;5;7,94
"110033 Nova Mamoré";163;163;140754,49;111990,35;-;-;28764,14;-;-;863,52;863,52;765;4,7;3;1,84
"110143 Nova União";11;11;7058,80;5678,39;-;-;1380,41;-;-;641,71;641,71;61;5,5;1;9,09
"110050 Novo Horizonte do Oeste";41;41;31306,15;24556,88;-;-;6749,27;-;-;763,56;763,56;172;4,2;3;7,32
"110015 Ouro Preto do Oeste";52;52;76365,31;58971,49;-;-;17393,82;-;-;1468,56;1468,56;237;4,6;3;5,77
"110145 Parecis";30;30;7287,70;5019,23;-;-;2268,47;-;-;242,92;242,92;48;1,6;-;-
"110018 Pimenta Bueno";226;226;132762,03;106724,72;-;-;26037,31;-;-;587,44;587,44;669;3,0;11;4,87
"110146 Pimenteiras do Oeste";7;7;5890,22;4843,14;-;-;1047,08;-;-;841,46;841,46;17;2,4;-;-
"110020 Porto Velho";3104;3104;4501750,83;3655713,52;-;-;846037,31;-;-;1450,31;1450,31;16856;5,4;145;4,67
"110025 Presidente Médici";74;74;55024,98;42374,35;-;-;12650,63;-;-;743,58;743,58;214;2,9;4;5,41
"110147 Primavera de Rondônia";15;15;11814,50;8635,09;-;-;3179,41;-;-;787,63;787,63;24;1,6;1;6,67
"110026 Rio Crespo";9;9;3356,10;2646,31;-;-;709,79;-;-;372,90;372,90;30;3,3;-;-
"110028 Rolim de Moura";302;302;255528,43;195730,97;-;-;59797,46;-;-;846,12;846,12;853;2,8;6;1,99
"110029 Santa Luzia D'Oeste";50;50;23731,69;18470,52;-;-;5261,17;-;-;474,63;474,63;170;3,4;1;2,00
"110148 São Felipe D'Oeste";7;7;4122,81;3265,53;-;-;857,28;-;-;588,97;588,97;12;1,7;-;-
"110149 São Francisco do Guaporé";72;72;106360,92;85007,28;-;-;21353,64;-;-;1477,24;1477,24;324;4,5;2;2,78
"110032 São Miguel do Guaporé";118;118;83270,19;63080,15;-;-;20190,04;-;-;705,68;705,68;334;2,8;6;5,08
"110150 Seringueiras";51;51;23145,18;16646,71;-;-;6498,47;-;-;453,83;453,83;121;2,4;1;1,96
"110155 Teixeirópolis";15;15;16534,20;14828,47;-;-;1705,73;-;-;1102,28;1102,28;71;4,7;-;-
"110160 Theobroma";20;20;12833,47;9941,47;-;-;2892,00;-;-;641,67;641,67;78;3,9;-;-
"110170 Urupá";27;27;14183,21;11696,94;-;-;2486,27;-;-;525,30;525,30;80;3,0;3;11,11
"110175 Vale do Anari";14;14;10758,24;7992,71;-;-;2765,53;-;-;768,45;768,45;66;4,7;-;-
"110180 Vale do Paraíso";12;12;20045,76;16574,82;-;-;3470,94;-;-;1670,48;1670,48;66;5,5;-;-
"110030 Vilhena";696;696;729885,06;579665,56;-;-;150219,50;-;-;1048,69;1048,69;2772;4,0;44;6,32
"120001 Acrelândia";39;39;41670,95;29967,40;-;-;11703,55;-;-;1068,49;1068,49;140;3,6;-;-
"120005 Assis Brasil";67;67;27470,00;19441,51;-;-;8028,49;-;-;410,00;410,00;163;2,4;-;-
"120010 Brasiléia";128;128;136814,77;109510,80;-;-;27303,97;-;-;1068,87;1068,87;431;3,4;9;7,03
"120013 Bujari";12;12;10083,23;6593,85;-;-;3489,38;-;-;840,27;840,27;29;2,4;-;-
"120017 Capixaba";22;22;49844,84;40604,77;-;-;9240,07;-;-;2265,67;2265,67;172;7,8;1;4,55
"120020 Cruzeiro do Sul";458;458;470128,80;357097,83;-;-;113030,97;-;-;1026,48;1026,48;2035;4,4;15;3,28
"120025 Epitaciolândia";74;74;93454,31;71307,45;-;-;22146,86;-;-;1262,90;1262,90;243;3,3;2;2,70
"120030 Feijó";39;39;64619,35;47112,35;-;-;17507,00;-;-;1656,91;1656,91;302;7,7;4;10,26
"120032 Jordão";23;23;14828,55;10725,34;-;-;4103,21;-;-;644,72;644,72;64;2,8;1;4,35
"120033 Mâncio Lima";91;94;58732,11;42573,46;-;-;16158,65;-;-;624,81;645,41;377;4,1;2;2,20
"120034 Manoel Urbano";42;42;19913,99;13741,58;-;-;6172,41;-;-;474,14;474,14;130;3,1;-;-
"120035 Marechal Thaumaturgo";76;76;257187,97;219795,54;-;-;37392,43;-;-;3384,05;3384,05;365;4,8;-;-
"120038 Plácido de Castro";51;51;34150,74;23466,57;-;-;10684,17;-;-;669,62;669,62;180;3,5;2;3,92
"120080 Porto Acre";35;35;30496,82;22374,02;-;-;8122,80;-;-;871,34;871,34;114;3,3;4;11,43
"120039 Porto Walter";30;30;16855,18;11314,61;-;-;5540,57;-;-;561,84;561,84;85;2,8;-;-
"120040 Rio Branco";1507;1542;1805349,62;1360086,80;-;-;445262,82;-;-;1170,78;1197,98;8061;5,3;73;4,84
"120042 Rodrigues Alves";80;80;80897,47;64293,66;-;-;16603,81;-;-;1011,22;1011,22;337;4,2;2;2,50
"120043 Santa Rosa do Purus";7;7;7887,99;5517,08;-;-;2370,91;-;-;1126,86;1126,86;24;3,4;1;14,29
"120050 Sena Madureira";208;208;119923,93;92015,04;-;-;27908,89;-;-;576,56;576,56;625;3,0;3;1,44
"120045 Senador Guiomard";61;64;65271,27;52722,81;-;-;12548,46;-;-;1019,86;1070,02;344;5,6;3;4,92
"120060 Tarauacá";197;197;128009,12;98039,45;-;-;29969,67;-;-;649,79;649,79;608;3,1;3;1,52
"120070 Xapuri";71;71;110736,28;84859,29;-;-;25876,99;-;-;1559,67;1559,67;351;4,9;1;1,41
"130002 Alvarães";117;117;53965,30;39195,66;-;-;14769,64;-;-;461,24;461,24;414;3,5;3;2,56
"130006 Amaturá";23;23;14006,55;10514,27;-;-;3492,28;-;-;608,98;608,98;99;4,3;1;4,35
"130008 Anamã";10;10;18748,16;15295,73;-;-;3452,43;-;-;1874,82;1874,82;55;5,5;1;10,00
"130010 Anori";75;75;31206,99;24505,47;-;-;6701,52;-;-;416,09;416,09;247;3,3;-;-
"130014 Apuí";82;82;38193,29;27923,63;-;-;10269,66;-;-;465,77;465,77;280;3,4;1;1,22
"130020 Atalaia do Norte";16;16;33624,29;28424,70;-;-;5199,59;-;-;2101,52;2101,52;125;7,8;1;6,25
"130030 Autazes";115;115;112383,02;81637,45;-;-;30745,57;-;-;977,24;977,24;471;4,1;6;5,22
"130040 Barcelos";22;22;36829,61;29256,56;-;-;7573,05;-;-;1674,07;1674,07;148;6,7;2;9,09
"130050 Barreirinha";53;53;44597,29;34436,50;-;-;10160,79;-;-;841,46;841,46;209;3,9;5;9,43
"130060 Benjamin Constant";122;122;86726,21;66004,17;-;-;20722,04;-;-;710,87;710,87;450;3,7;-;-
"130063 Beruri";20;20;21839,91;16152,62;-;-;5687,29;-;-;1092,00;1092,00;78;3,9;1;5,00
"130068 Boa Vista do Ramos";111;111;66271,54;51526,88;-;-;14744,66;-;-;597,04;597,04;333;3,0;3;2,70
"130070 Boca do Acre";170;170;103955,62;74797,37;-;-;29158,25;-;-;611,50;611,50;578;3,4;4;2,35
"130080 Borba";309;309;156360,25;124746,94;-;-;31613,31;-;-;506,02;506,02;1002;3,2;4;1,29
"130083 Caapiranga";72;72;44007,98;35881,45;-;-;8126,53;-;-;611,22;611,22;308;4,3;-;-
