 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"120025 Epitaciolândia";59;59;46981,80;33679,97;-;-;13301,83;-;-;796,30;796,30;244;4,1;6;10,17
"120030 Feijó";39;39;55332,41;44150,56;-;-;11181,85;-;-;1418,78;1418,78;192;4,9;3;7,69
"120032 Jordão";13;13;4040,73;2757,88;-;-;1282,85;-;-;310,83;310,83;15;1,2;1;7,69
"120033 Mâncio Lima";70;70;41948,70;29076,55;-;-;12872,15;-;-;599,27;599,27;180;2,6;2;2,86
"120034 Manoel Urbano";18;18;24877,70;19303,52;-;-;5574,18;-;-;1382,09;1382,09;155;8,6;-;-
"120035 Marechal Thaumaturgo";47;47;18267,50;13019,46;-;-;5248,04;-;-;388,67;388,67;114;2,4;1;2,13
"120038 Plácido de Castro";40;40;25109,98;17583,87;-;-;7526,11;-;-;627,75;627,75;198;5,0;3;7,50
"120080 Porto Acre";43;43;27024,83;18390,64;-;-;8634,19;-;-;628,48;628,48;137;3,2;4;9,30
"120039 Porto Walter";22;22;11971,61;8663,42;-;-;3308,19;-;-;544,16;544,16;97;4,4;1;4,55
"120040 Rio Branco";1574;1589;1921288,37;1475637,95;-;-;445650,42;-;-;1209,12;1220,64;8554;5,4;121;7,69
"120042 Rodrigues Alves";57;57;29398,61;21904,87;-;-;7493,74;-;-;515,77;515,77;201;3,5;4;7,02
"120043 Santa Rosa do Purus";4;4;2466,09;2159,89;-;-;306,20;-;-;616,52;616,52;37;9,3;-;-
"120050 Sena Madureira";171;174;118152,15;92444,35;-;-;25707,80;-;-;679,04;690,95;723;4,2;2;1,17
"120045 Senador Guiomard";111;111;64306,94;48868,07;-;-;15438,87;-;-;579,34;579,34;418;3,8;1;0,90
"120060 Tarauacá";150;152;56059,79;40558,56;-;-;15501,23;-;-;368,81;373,73;506;3,4;4;2,67
"120070 Xapuri";57;57;49089,19;38555,79;-;-;10533,40;-;-;861,21;861,21;229;4,0;3;5,26
"130002 Alvarães";73;73;50485,71;39151,31;-;-;11334,40;-;-;691,59;691,59;375;5,1;2;2,74
"130006 Amaturá";33;33;22010,89;17179,04;-;-;4831,85;-;-;667,00;667,00;135;4,1;2;6,06
"130008 Anamã";7;7;6372,69;5423,70;-;-;948,99;-;-;910,38;910,38;29;4,1;2;28,57
"130010 Anori";53;53;16481,53;12549,96;-;-;3931,57;-;-;310,97;310,97;169;3,2;-;-
"130014 Apuí";77;77;38930,15;29296,87;-;-;9633,28;-;-;505,59;505,59;271;3,5;2;2,60
"130020 Atalaia do Norte";56;56;94719,74;77934,19;-;-;16785,55;-;-;1691,42;1691,42;244;4,4;2;3,57
"130030 Autazes";94;94;153075,90;123638,95;-;-;29436,95;-;-;1628,47;1628,47;326;3,5;5;5,32
"130040 Barcelos";9;9;25383,43;21412,68;-;-;3970,75;-;-;2820,38;2820,38;52;5,8;2;22,22
"130050 Barreirinha";21;21;30990,58;25050,65;-;-;5939,93;-;-;1475,74;1475,74;109;5,2;1;4,76
"130060 Benjamin Constant";151;151;109208,23;83590,85;-;-;25617,38;-;-;723,23;723,23;511;3,4;2;1,32
"130063 Beruri";10;10;5463,47;4061,99;-;-;1401,48;-;-;546,35;546,35;39;3,9;-;-
"130068 Boa Vista do Ramos";48;48;23171,21;16677,34;-;-;6493,87;-;-;482,73;482,73;234;4,9;3;6,25
"130070 Boca do Acre";135;135;77803,00;60103,36;-;-;17699,64;-;-;576,32;576,32;482;3,6;11;8,15
"130080 Borba";161;161;138796,37;108509,00;-;-;30287,37;-;-;862,09;862,09;572;3,6;4;2,48
"130083 Caapiranga";86;86;34277,64;25916,94;-;-;8360,70;-;-;398,58;398,58;241;2,8;2;2,33
"130090 Canutama";41;41;13652,79;10395,85;-;-;3256,94;-;-;332,99;332,99;122;3,0;-;-
"130100 Carauari";76;76;59841,64;43087,21;-;-;16754,43;-;-;787,39;787,39;263;3,5;2;2,63
"130110 Careiro";113;113;95179,00;74666,98;-;-;20512,02;-;-;842,29;842,29;350;3,1;4;3,54
"130115 Careiro da Várzea";30;30;36259,81;28667,47;-;-;7592,34;-;-;1208,66;1208,66;169;5,6;2;6,67
"130120 Coari";389;389;336329,12;245116,85;-;-;91212,27;-;-;864,60;864,60;1274;3,3;34;8,74
"130130 Codajás";73;73;44820,82;34122,72;-;-;10698,10;-;-;613,98;613,98;344;4,7;2;2,74
"130140 Eirunepé";3;3;5157,87;3645,37;-;-;1512,50;-;-;1719,29;1719,29;35;11,7;-;-
