 Morbidade Hospitalar do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município;;;;;;;;;;;;;;;;
Período:Abr/2020;;;;;;;;;;;;;;;;
Município;Internações;AIH_aprovadas;Valor_total;Valor_serviços_hospitalares;Val_serv_hosp_-_compl_federal;Val_serv_hosp_-_compl_gestor;Valor_serviços_profissionais;Val_serv_prof_-_compl_federal;Val_serv_prof_-_compl_gestor;Valor_médio_AIH;Valor_médio_intern;Dias_permanência;Média_permanência;Óbitos;Taxa_mortalidade;Data
130006 Amaturá;32;32;41110,13;28440,25;-;-;12669,88;-;-;1284,69;1284,69;141;4,4;1;3,13;
130008 Anamã;8;8;15762,23;13167,71;-;-;2594,52;-;-;1970,28;1970,28;74;9,3;-;-;
130010 Anori;47;47;27496,17;22326,51;-;-;5169,66;-;-;585,02;585,02;166;3,5;-;-;
130014 Apuí;91;91;66138,42;48341,83;-;-;17796,59;-;-;726,8;726,8;404;4,4;-;-;
130020 Atalaia do Norte;24;24;25028,52;20268,31;-;-;4760,21;-;-;1042,86;1042,86;105;4,4;-;-;
130030 Autazes;105;105;84506,34;62182,16;-;-;22324,18;-;-;804,82;804,82;363;3,5;-;-;
130040 Barcelos;70;70;52998,15;42891,88;-;-;10106,27;-;-;757,12;757,12;297;4,2;3;4,29;
130050 Barreirinha;44;44;32749,05;25057,87;-;-;7691,18;-;-;744,3;744,3;179;4,1;1;2,27;
130060 Benjamin Constant;135;135;65990,5;47466,49;-;-;18524,01;-;-;488,82;488,82;454;3,4;3;2,22;
130063 Beruri;45;45;31361,01;23313,07;-;-;8047,94;-;-;696,91;696,91;158;3,5;2;4,44;
130068 Boa Vista do Ramos;59;59;44153,91;36145,41;-;-;8008,5;-;-;748,37;748,37;209;3,5;-;-;
130070 Boca do Acre;144;144;86881,35;64944,65;-;-;21936,7;-;-;603,34;603,34;523;3,6;4;2,78;
130080 Borba;131;131;73530,61;57749,8;-;-;15780,81;-;-;561,3;561,3;434;3,3;4;3,05;
130083 Caapiranga;65;65;27102,73;20951,37;-;-;6151,36;-;-;416,97;416,97;261;4;1;1,54;
130090 Canutama;31;31;16106,82;11266,81;-;-;4840,01;-;-;519,57;519,57;99;3,2;1;3,23;
130100 Carauari;128;128;85085;63449,28;-;-;21635,72;-;-;664,73;664,73;524;4,1;4;3,13;
130110 Careiro;67;67;49063,42;38068,95;-;-;10994,47;-;-;732,29;732,29;331;4,9;3;4,48;
130115 Careiro da Várzea;13;13;20485,89;16542,99;-;-;3942,9;-;-;1575,84;1575,84;56;4,3;1;7,69;
130120 Coari;243;243;178868,48;135740,56;-;-;43127,92;-;-;736,08;736,08;1061;4,4;9;3,7;
130130 Codajás;91;91;77265,7;62319,61;-;-;14946,09;-;-;849,07;849,07;390;4,3;1;1,1;
130140 Eirunepé;7;7;21913,19;18843,43;-;-;3069,76;-;-;3130,46;3130,46;66;9,4;1;14,29;
130150 Envira;54;54;24543,62;18370,95;-;-;6172,67;-;-;454,51;454,51;142;2,6;-;-;
130160 Fonte Boa;94;94;66063,2;50580,68;-;-;15482,52;-;-;702,8;702,8;406;4,3;2;2,13;
130165 Guajará;53;53;23833,06;17103,78;-;-;6729,28;-;-;449,68;449,68;143;2,7;1;1,89;
130170 Humaitá;152;152;132068,66;96834,97;-;-;35233,69;-;-;868,87;868,87;699;4,6;-;-;
130180 Ipixuna;85;85;31328,96;22737,34;-;-;8591,62;-;-;368,58;368,58;212;2,5;-;-;
130185 Iranduba;136;136;124445,58;100849,5;-;-;23596,08;-;-;915,04;915,04;656;4,8;3;2,21;
130190 Itacoatiara;286;286;269846,71;202480,71;-;-;67366;-;-;943,52;943,52;1066;3,7;12;4,2;
130195 Itamarati;2;2;1815,5;1077,28;-;-;738,22;-;-;907,75;907,75;3;1,5;-;-;
130200 Itapiranga;49;49;30317,23;22917,36;-;-;7399,87;-;-;618,72;618,72;169;3,4;3;6,12;
130210 Japurá;3;3;1212,94;859,93;-;-;353,01;-;-;404,31;404,31;6;2;-;-;
130220 Juruá;4;4;5454,9;4373,59;-;-;1081,31;-;-;1363,73;1363,73;48;12;-;-;
130230 Jutaí;3;3;1935,58;1758,3;-;-;177,28;-;-;645,19;645,19;28;9,3;-;-;
130240 Lábrea;138;138;65745,52;48016,08;-;-;17729,44;-;-;476,42;476,42;426;3,1;-;-;
130250 Manacapuru;310;310;326732,66;247840,49;-;-;78892,17;-;-;1053,98;1053,98;1184;3,8;24;7,74;
130255 Manaquiri;57;57;17977,43;14309,39;-;-;3668,04;-;-;315,39;315,39;170;3;-;-;
130260 Manaus;7817;7818;10259885,81;8032035,5;-;-;2227850,31;-;-;1312,34;1312,51;50897;6,5;498;6,37;
130270 Manicoré;191;191;112680,65;77433,77;-;-;35246,88;-;-;589,95;589,95;646;3,4;2;1,05;
130280 Maraã;20;20;7761,61;6061,77;-;-;1699,84;-;-;388,08;388,08;111;5,5;-;-;
130290 Maués;240;240;148122,87;101833,05;-;-;46289,82;-;-;617,18;617,18;662;2,8;5;2,08;
130300 Nhamundá;20;20;8468,92;6575,74;-;-;1893,18;-;-;423,45;423,45;102;5,1;1;5;
130310 Nova Olinda do Norte;17;17;42275,83;35718,8;-;-;6557,03;-;-;2486,81;2486,81;124;7,3;1;5,88;
130320 Novo Airão;43;43;38935,1;28820,39;-;-;10114,71;-;-;905,47;905,47;137;3,2;1;2,33;
130330 Novo Aripuanã;60;60;27592,82;22972,76;-;-;4620,06;-;-;459,88;459,88;273;4,5;1;1,67;
130340 Parintins;396;396;190287,52;140454,49;-;-;49833,03;-;-;480,52;480,52;1602;4;8;2,02;
130350 Pauini;10;10;9218,96;6887,19;-;-;2331,77;-;-;921,9;921,9;146;14,6;-;-;
130353 Presidente Figueiredo;64;64;69624,08;56143,31;-;-;13480,77;-;-;1087,88;1087,88;292;4,6;3;4,69;
130356 Rio Preto da Eva;63;63;91986,66;75947,02;-;-;16039,64;-;-;1460,11;1460,11;492;7,8;2;3,17;
130360 Santa Isabel do Rio Negro;91;91;53402,52;38968,33;-;-;14434,19;-;-;586,84;586,84;311;3,4;1;1,1;
130370 Santo Antônio do Içá;117;117;45330,22;31218,42;-;-;14111,8;-;-;387,44;387,44;297;2,5;-;-;
130380 São Gabriel da Cachoeira;47;47;52255,31;44701,96;-;-;7553,35;-;-;1111,82;1111,82;433;9,2;5;10,64;
130390 São Paulo de Olivença;52;52;22353,26;16325,67;-;-;6027,59;-;-;429,87;429,87;117;2,3;1;1,92;
130395 São Sebastião do Uatumã;20;20;18810,46;12870,99;-;-;5939,47;-;-;940,52;940,52;86;4,3;-;-;
130400 Silves;8;8;4843,45;3323,11;-;-;1520,34;-;-;605,43;605,43;25;3,1;-;-;
130406 Tabatinga;165;165;115690,24;77217,12;-;-;38473,12;-;-;701,15;701,15;638;3,9;3;1,82;
130410 Tapauá;4;4;3886,7;3508,65;-;-;378,05;-;-;971,67;971,67;51;12,8;-;-;
130420 Tefé;381;381;209890,5;162311,58;-;-;47578,92;-;-;550,89;550,89;1582;4,2;8;2,1;
130423 Tonantins;47;47;19974,15;14191,03;-;-;5783,12;-;-;424,98;424,98;99;2,1;-;-;
130426 Uarini;87;87;42860,56;32597,14;-;-;10263,42;-;-;492,65;492,65;213;2,4;1;1,15;
130430 Urucará;17;17;13172,1;10853,09;-;-;2319,01;-;-;774,83;774,83;82;4,8;1;5,88;
130440 Urucurituba;7;7;4715,43;3620,86;-;-;1094,57;-;-;673,63;673,63;23;3,3;-;-;
140005 Alto Alegre;91;91;65406,81;50359,74;-;-;15047,07;-;-;718,76;718,76;599;6,6;4;4,4;
140002 Amajari;46;46;50244,9;32308,69;-;-;17936,21;-;-;1092,28;1092,28;264;5,7;2;4,35;
140010 Boa Vista;2316;2316;2359733,71;1735853,89;-;-;623879,82;-;-;1018,88;1018,88;13466;5,8;71;3,07;
140015 Bonfim;79;79;73721,56;55112,81;-;-;18608,75;-;-;933,18;933,18;334;4,2;5;6,33;
140017 Cantá;90;90;98850,55;70427,96;-;-;28422,59;-;-;1098,34;1098,34;525;5,8;3;3,33;
140020 Caracaraí;53;53;48641,93;34772,4;-;-;13869,53;-;-;917,77;917,77;249;4,7;2;3,77;
140023 Caroebe;30;30;29557,23;24292,11;-;-;5265,12;-;-;985,24;985,24;124;4,1;-;-;
140028 Iracema;21;21;11034,53;7486,36;-;-;3548,17;-;-;525,45;525,45;58;2,8;1;4,76;
140030 Mucajaí;60;60;36021,42;25635,64;-;-;10385,78;-;-;600,36;600,36;276;4,6;4;6,67;
140040 Normandia;58;58;39374,49;29356,3;-;-;10018,19;-;-;678,87;678,87;393;6,8;2;3,45;
140045 Pacaraima;113;113;145654,85;99781,11;-;-;45873,74;-;-;1288,98;1288,98;887;7,8;1;0,88;
140047 Rorainópolis;146;146;115420,6;89089,26;-;-;26331,34;-;-;790,55;790,55;643;4,4;4;2,74;
140050 São João da Baliza;33;33;11471,27;7564,15;-;-;3907,12;-;-;347,61;347,61;60;1,8;-;-;
140060 São Luiz;21;21;7453,82;5321,84;-;-;2131,98;-;-;354,94;354,94;78;3,7;-;-;
140070 Uiramutã;51;51;64758,53;40827,96;-;-;23930,57;-;-;1269,78;1269,78;351;6,9;2;3,92;
150010 Abaetetuba;595;595;600297,01;437155,16;-;-;163141,85;-;-;1008,9;1008,9;2488;4,2;10;1,68;
150013 Abel Figueiredo;8;8;2987,29;2043,47;-;-;943,82;-;-;373,41;373,41;25;3,1;-;-;
150020 Acará;82;82;124956,09;95532,78;-;-;29423,31;-;-;1523,85;1523,85;382;4,7;2;2,44;
150030 Afuá;124;124;55753,18;41894,39;-;-;13858,79;-;-;449,62;449,62;484;3,9;1;0,81;
150034 Água Azul do Norte;81;81;42501,7;33261,57;-;-;9240,13;-;-;524,71;524,71;261;3,2;1;1,23;
150040 Alenquer;377;377;164326,39;127592,83;-;-;36733,56;-;-;435,88;435,88;1271;3,4;7;1,86;
150050 Almeirim;38;38;74624,7;56450,25;-;-;18174,45;-;-;1963,81;1963,81;226;5,9;6;15,79;
150060 Altamira;666;666;698879,19;524122,66;-;-;174756,53;-;-;1049,37;1049,37;3372;5,1;32;4,8;
150070 Anajás;123;123;70037,17;51230,46;-;-;18806,71;-;-;569,41;569,41;305;2,5;3;2,44;
150080 Ananindeua;2082;2083;2411280,48;1817371,01;22261,18;-;564080,72;-;-;1157,6;1158,16;8560;4,1;51;2,45;
150085 Anapu;209;209;218954,66;182052,24;-;-;36902,42;-;-;1047,63;1047,63;966;4,6;3;1,44;
150090 Augusto Corrêa;271;271;214551,69;172385,28;-;-;42166,41;-;-;791,7;791,7;958;3,5;5;1,85;
150095 Aurora do Pará;39;39;48227,72;35501,78;-;-;12725,94;-;-;1236,61;1236,61;241;6,2;2;5,13;
150100 Aveiro;15;15;6434,28;4232,86;-;-;2201,42;-;-;428,95;428,95;38;2,5;-;-;
150110 Bagre;29;29;63998,28;44548,37;-;-;19449,91;-;-;2206,84;2206,84;196;6,8;1;3,45;
150120 Baião;127;127;71050,73;51066,69;-;-;19984,04;-;-;559,45;559,45;364;2,9;2;1,57;
150125 Bannach;10;10;4794,2;3921,01;-;-;873,19;-;-;479,42;479,42;37;3,7;3;30;
150130 Barcarena;479;479;540041,73;397914,45;447,16;-;141431,51;-;-;1127,44;1127,44;2301;4,8;13;2,71;
150140 Belém;3802;3802;5613267,89;4209497,74;61905,35;-;1317917,25;-;-;1476,4;1476,4;19041;5;195;5,13;
150145 Belterra;25;25;28324,47;23256,47;-;-;5068;-;-;1132,98;1132,98;114;4,6;2;8;
150150 Benevides;141;141;170609,61;126332,24;-;-;44277,37;-;-;1210;1210;798;5,7;2;1,42;
150157 Bom Jesus do Tocantins;82;82;29294,6;23790,68;-;-;5503,92;-;-;357,25;357,25;210;2,6;-;-;
150160 Bonito;35;35;25386,11;17773,5;-;-;7612,61;-;-;725,32;725,32;92;2,6;-;-;
150170 Bragança;510;510;603962,33;463756,06;-;-;140206,27;-;-;1184,24;1184,24;2452;4,8;14;2,75;
150172 Brasil Novo;176;176;128854,88;108574,83;-;-;20280,05;-;-;732,13;732,13;619;3,5;8;4,55;
150175 Brejo Grande do Araguaia;62;62;29445,69;24016,31;-;-;5429,38;-;-;474,93;474,93;157;2,5;-;-;
150178 Breu Branco;99;99;99000,47;72903,05;-;-;26097,42;-;-;1000;1000;416;4,2;1;1,01;
150180 Breves;591;591;424274,53;313412,72;-;-;110861,81;-;-;717,89;717,89;2542;4,3;19;3,21;
150190 Bujaru;225;225;173846,27;130231,15;3883,89;-;37884,63;-;-;772,65;772,65;959;4,3;4;1,78;
150200 Cachoeira do Arari;75;75;44207,3;31806,51;-;-;12400,79;-;-;589,43;589,43;229;3,1;-;-;
150195 Cachoeira do Piriá;41;42;53841,52;42637,08;-;-;11204,44;-;-;1281,94;1313,21;184;4,5;-;-;
150210 Cametá;443;443;348585,64;246765,25;-;-;101820,39;-;-;786,88;786,88;1618;3,7;8;1,81;
150215 Canaã dos Carajás;172;172;133519,98;99004,24;3290,42;-;29336,53;-;-;776,28;776,28;722;4,2;6;3,49;
150220 Capanema;209;209;302089,73;237166,11;-;-;64923,62;-;-;1445,41;1445,41;942;4,5;6;2,87;
150230 Capitão Poço;260;260;250070,14;198481;1341,7;-;49792,44;-;-;961,81;961,81;1048;4;2;0,77;
150240 Castanhal;978;978;886900,31;643134,19;9371,66;-;229594,4;-;-;906,85;906,85;3775;3,9;30;3,07;
150250 Chaves;18;18;17048,86;12280,51;-;-;4768,35;-;-;947,16;947,16;93;5,2;1;5,56;
150260 Colares;20;20;11677,13;8271,02;-;-;3406,11;-;-;583,86;583,86;74;3,7;-;-;
150270 Conceição do Araguaia;311;311;211523,36;177114,2;-;-;34409,16;-;-;680,14;680,14;1318;4,2;3;0,96;
150275 Concórdia do Pará;91;91;69260,78;51637,35;-;-;17623,43;-;-;761,11;761,11;360;4;-;-;
150276 Cumaru do Norte;30;30;45534,26;37796,49;-;-;7737,77;-;-;1517,81;1517,81;248;8,3;1;3,33;
150277 Curionópolis;21;21;33247,41;23847,75;-;-;9399,66;-;-;1583,21;1583,21;81;3,9;1;4,76;
150280 Curralinho;108;108;73457,66;58965,47;-;-;14492,19;-;-;680,16;680,16;353;3,3;2;1,85;
150285 Curuá;24;24;13863;10595,48;-;-;3267,52;-;-;577,63;577,63;117;4,9;-;-;
150290 Curuçá;92;92;124895,02;92462,67;726,19;-;31310,56;-;-;1357,55;1357,55;397;4,3;2;2,17;
