 Morbidade Hospitalar do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município;;;;;;;;;;;;;;;;
Período:Abr/2020;;;;;;;;;;;;;;;;
Município;Internações;AIH_aprovadas;Valor_total;Valor_serviços_hospitalares;Val_serv_hosp_-_compl_federal;Val_serv_hosp_-_compl_gestor;Valor_serviços_profissionais;Val_serv_prof_-_compl_federal;Val_serv_prof_-_compl_gestor;Valor_médio_AIH;Valor_médio_intern;Dias_permanência;Média_permanência;Óbitos;Taxa_mortalidade;Data
110080 Candeias do Jamari;104;104;164125,56;136024,63;-;-;28100,93;-;-;1578,13;1578,13;647;6,2;4;3,85;
110090 Castanheiras;7;7;5531,01;4515,57;-;-;1015,44;-;-;790,14;790,14;51;7,3;1;14,29;
110005 Cerejeiras;111;111;78726,45;62488,95;-;-;16237,5;-;-;709,25;709,25;463;4,2;3;2,7;
110092 Chupinguaia;46;46;59181,16;48332,8;-;-;10848,36;-;-;1286,55;1286,55;275;6;1;2,17;
110006 Colorado do Oeste;72;72;56944,51;46139,17;-;-;10805,34;-;-;790,9;790,9;317;4,4;3;4,17;
110007 Corumbiara;17;17;61119,35;44833,02;-;-;16286,33;-;-;3595,26;3595,26;72;4,2;1;5,88;
110008 Costa Marques;35;35;57359,07;46368,77;-;-;10990,3;-;-;1638,83;1638,83;166;4,7;-;-;
110094 Cujubim;34;34;52217,57;43660,93;-;-;8556,64;-;-;1535,81;1535,81;124;3,6;2;5,88;
110009 Espigão D'Oeste;166;166;82268,68;65032,28;-;-;17236,4;-;-;495,59;495,59;548;3,3;5;3,01;
110100 Governador Jorge Teixeira;21;21;15283,88;11203,24;-;-;4080,64;-;-;727,8;727,8;106;5;-;-;
110010 Guajará-Mirim;225;225;190247,51;142078,22;-;-;48169,29;-;-;845,54;845,54;1168;5,2;4;1,78;
