 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Mai/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110008 Costa Marques";40;40;46885,69;35892,97;-;-;10992,72;-;-;1172,14;1172,14;169;4,2;1;2,50
"110094 Cujubim";27;27;24057,48;20114,66;-;-;3942,82;-;-;891,02;891,02;111;4,1;-;-
"110009 Espigão D'Oeste";143;143;134459,40;111827,92;-;-;22631,48;-;-;940,28;940,28;675;4,7;7;4,90
"110100 Governador Jorge Teixeira";17;17;11266,92;8447,89;-;-;2819,03;-;-;662,76;662,76;70;4,1;-;-
"110010 Guajará-Mirim";252;252;256908,38;204152,57;-;-;52755,81;-;-;1019,48;1019,48;1082;4,3;8;3,17
"110110 Itapuã do Oeste";28;28;20991,86;16264,63;-;-;4727,23;-;-;749,71;749,71;197;7,0;-;-
"110011 Jaru";215;215;316413,82;247630,91;-;-;68782,91;-;-;1471,69;1471,69;843;3,9;11;5,12
"110012 Ji-Paraná";457;457;377128,53;290856,38;-;-;86272,15;-;-;825,23;825,23;1813;4,0;18;3,94
"110013 Machadinho D'Oeste";129;129;93838,64;72826,06;-;-;21012,58;-;-;727,43;727,43;491;3,8;9;6,98
"110120 Ministro Andreazza";20;20;16613,67;12758,39;-;-;3855,28;-;-;830,68;830,68;106;5,3;1;5,00
"110130 Mirante da Serra";32;32;69615,58;58710,92;-;-;10904,66;-;-;2175,49;2175,49;239;7,5;2;6,25
"110140 Monte Negro";27;27;44865,03;37514,37;-;-;7350,66;-;-;1661,67;1661,67;185;6,9;-;-
"110014 Nova Brasilândia D'Oeste";58;58;57762,27;44912,30;-;-;12849,97;-;-;995,90;995,90;259;4,5;5;8,62
"110033 Nova Mamoré";105;105;83383,69;65242,68;-;-;18141,01;-;-;794,13;794,13;613;5,8;3;2,86
"110143 Nova União";10;10;4546,24;3766,26;-;-;779,98;-;-;454,62;454,62;25;2,5;1;10,00
"110050 Novo Horizonte do Oeste";30;30;29059,42;24139,45;-;-;4919,97;-;-;968,65;968,65;148;4,9;1;3,33
"110015 Ouro Preto do Oeste";34;34;105229,43;89732,59;-;-;15496,84;-;-;3094,98;3094,98;325;9,6;4;11,76
"110145 Parecis";10;10;12327,65;9891,70;-;-;2435,95;-;-;1232,76;1232,76;41;4,1;-;-
"110018 Pimenta Bueno";173;173;103926,70;82180,13;-;-;21746,57;-;-;600,73;600,73;536;3,1;9;5,20
"110146 Pimenteiras do Oeste";7;7;5272,68;3579,68;-;-;1693,00;-;-;753,24;753,24;23;3,3;-;-
"110020 Porto Velho";2280;2280;3317284,45;2682660,26;-;-;634624,19;-;-;1454,95;1454,95;13356;5,9;89;3,90
"110025 Presidente Médici";59;59;48990,09;35435,15;-;-;13554,94;-;-;830,34;830,34;228;3,9;5;8,47
"110147 Primavera de Rondônia";13;13;10333,66;8471,09;-;-;1862,57;-;-;794,90;794,90;60;4,6;1;7,69
"110026 Rio Crespo";10;10;3816,88;2965,22;-;-;851,66;-;-;381,69;381,69;61;6,1;-;-
"110028 Rolim de Moura";265;265;156589,43;117123,00;-;-;39466,43;-;-;590,90;590,90;1057;4,0;5;1,89
"110029 Santa Luzia D'Oeste";58;58;77552,34;61478,03;-;-;16074,31;-;-;1337,11;1337,11;346;6,0;-;-
