 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Dez/2019
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"171420 Natividade";38;38;46892,45;37145,63;328,27;-;9269,14;-;-;1234,01;1234,01;181;4,8;-;-
"171430 Nazaré";20;20;19560,61;13924,05;272,75;-;4938,64;-;-;978,03;978,03;107;5,3;1;5,00
"171488 Nova Olinda";61;61;76477,26;57943,04;1101,21;-;16800,80;-;-;1253,73;1253,73;293;4,8;-;-
"171500 Nova Rosalândia";14;14;16656,26;12768,28;272,44;-;3430,54;-;-;1189,73;1189,73;102;7,3;-;-
"171510 Novo Acordo";30;30;17132,35;11587,51;1037,01;-;3804,24;-;-;571,08;571,08;113;3,8;1;3,33
"171515 Novo Alegre";5;5;2686,49;1446,50;298,12;-;767,57;-;-;537,30;537,30;14;2,8;1;20,00
"171525 Novo Jardim";5;5;9509,10;8400,65;-;-;1108,45;-;-;1901,82;1901,82;63;12,6;1;20,00
"171550 Oliveira de Fátima";11;11;6454,71;4514,77;-;-;1939,94;-;-;586,79;586,79;50;4,5;1;9,09
"172100 Palmas";1475;1475;1367869,54;1023555,58;17509,71;-;317420,45;-;-;927,37;927,37;8190;5,6;43;2,92
"171570 Palmeirante";26;26;28056,53;21435,82;1183,10;-;4798,70;-;-;1079,10;1079,10;193;7,4;1;3,85
"171380 Palmeiras do Tocantins";19;19;22642,07;17147,45;287,62;-;4993,77;-;-;1191,69;1191,69;78;4,1;1;5,26
"171575 Palmeirópolis";32;32;20453,68;13752,30;541,78;-;5901,42;-;-;639,18;639,18;160;5,0;-;-
"171610 Paraíso do Tocantins";223;223;231089,29;172562,45;6331,14;-;48505,44;-;-;1036,27;1036,27;1197;5,4;6;2,69
"171620 Paranã";58;58;31449,74;24043,77;206,16;-;7088,96;-;-;542,24;542,24;197;3,4;1;1,72
"171630 Pau D'Arco";28;28;42495,30;35902,90;429,74;-;5927,51;-;-;1517,69;1517,69;158;5,6;3;10,71
"171650 Pedro Afonso";88;88;92181,10;72075,12;1710,35;-;17381,25;-;-;1047,51;1047,51;402;4,6;4;4,55
"171660 Peixe";63;63;52358,89;42764,13;-;-;9594,76;-;-;831,09;831,09;372;5,9;3;4,76
"171665 Pequizeiro";19;19;9087,97;6843,39;-;-;2244,58;-;-;478,31;478,31;93;4,9;-;-
"171700 Pindorama do Tocantins";36;36;31453,81;21045,23;287,62;-;9907,74;-;-;873,72;873,72;176;4,9;1;2,78
"171720 Piraquê";6;6;2870,60;2133,57;-;-;737,03;-;-;478,43;478,43;22;3,7;-;-
"171750 Pium";32;32;15030,61;11512,68;447,60;-;2841,48;-;-;469,71;469,71;93;2,9;2;6,25
"171780 Ponte Alta do Bom Jesus";7;7;5625,86;4375,92;-;-;1249,94;-;-;803,69;803,69;116;16,6;-;-
"171790 Ponte Alta do Tocantins";31;31;28829,94;23409,49;440,60;-;4777,36;-;-;930,00;930,00;159;5,1;1;3,23
"171800 Porto Alegre do Tocantins";10;10;13298,34;11209,46;-;-;2088,88;-;-;1329,83;1329,83;38;3,8;-;-
"171820 Porto Nacional";428;428;365344,99;272463,58;2216,43;-;89239,41;-;-;853,61;853,61;2301;5,4;11;2,57
"171830 Praia Norte";20;20;35648,89;26343,71;492,43;-;8549,52;-;-;1782,44;1782,44;102;5,1;-;-
"171840 Presidente Kennedy";16;16;17961,68;13937,91;149,27;-;3801,02;-;-;1122,61;1122,61;113;7,1;-;-
"171845 Pugmil";15;15;13747,22;11531,77;112,17;-;2028,98;-;-;916,48;916,48;89;5,9;-;-
"171850 Recursolândia";17;17;12487,55;9019,62;-;-;3467,93;-;-;734,56;734,56;93;5,5;-;-
"171855 Riachinho";12;12;11401,16;7444,09;-;-;3957,07;-;-;950,10;950,10;73;6,1;1;8,33
"171865 Rio da Conceição";4;4;3807,03;3434,31;-;-;372,72;-;-;951,76;951,76;37;9,3;1;25,00
"171870 Rio dos Bois";16;16;28607,73;20767,31;1096,32;-;6060,95;-;-;1787,98;1787,98;80;5,0;-;-
"171875 Rio Sono";24;24;21544,23;16325,16;319,13;-;4713,22;-;-;897,68;897,68;273;11,4;2;8,33
"171880 Sampaio";16;16;24890,00;19301,45;484,80;-;4837,89;-;-;1555,63;1555,63;179;11,2;-;-
"171884 Sandolândia";28;28;12102,31;8526,38;133,56;-;3350,25;-;-;432,23;432,23;105;3,8;-;-
"171886 Santa Fé do Araguaia";25;25;32180,71;24854,73;272,44;-;6868,54;-;-;1287,23;1287,23;177;7,1;1;4,00
"171888 Santa Maria do Tocantins";15;15;12308,42;6946,62;757,80;-;4205,77;-;-;820,56;820,56;47;3,1;-;-
"171889 Santa Rita do Tocantins";9;9;5619,80;3978,65;-;-;1641,15;-;-;624,42;624,42;29;3,2;-;-
"171890 Santa Rosa do Tocantins";15;15;7657,06;5558,00;-;-;2099,06;-;-;510,47;510,47;81;5,4;1;6,67
"171900 Santa Tereza do Tocantins";9;9;5059,67;3394,60;-;-;1665,07;-;-;562,19;562,19;26;2,9;-;-
"172000 Santa Terezinha do Tocantins";9;9;5635,85;3453,83;493,78;-;1364,16;-;-;626,21;626,21;26;2,9;-;-
"172010 São Bento do Tocantins";12;12;15783,47;12986,26;223,58;-;2449,33;-;-;1315,29;1315,29;80;6,7;-;-
"172015 São Félix do Tocantins";5;5;16889,63;14496,22;-;-;2393,41;-;-;3377,93;3377,93;44;8,8;-;-
"172020 São Miguel do Tocantins";15;15;21418,21;15619,12;149,27;-;5581,60;-;-;1427,88;1427,88;72;4,8;-;-
"172025 São Salvador do Tocantins";7;7;3660,86;2346,30;-;-;1314,56;-;-;522,98;522,98;24;3,4;-;-
"172030 São Sebastião do Tocantins";18;18;11608,71;6490,95;1040,19;-;3486,54;-;-;644,93;644,93;36;2,0;-;-
"172049 São Valério";17;17;15928,84;12471,24;306,18;-;2971,09;-;-;936,99;936,99;72;4,2;1;5,88
"172065 Silvanópolis";20;20;16944,75;13037,02;355,43;-;3367,97;-;-;847,24;847,24;86;4,3;1;5,00
"172080 Sítio Novo do Tocantins";32;32;26778,17;19769,64;476,81;-;6273,66;-;-;836,82;836,82;144;4,5;-;-
